Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1951-01-01,,44,22,0,,
1951-01-02,29,49,19,0,,
1951-01-03,32,51,21,0,,
1951-01-04,27,36,18,0,,
1951-01-05,29,32,23,0.05,,
1951-01-06,30,32,28,0.02,,
1951-01-07,31,33,30,0,,
1951-01-08,34,39,31,0.01,,
1951-01-09,27,32,20,0.19,,
1951-01-10,24,34,18,0.01,,
1951-01-11,24,33,20,0,,
1951-01-12,19,27,10,0,,
1951-01-13,15,25,5,0,,
1951-01-14,18,32,10,0,,
1951-01-15,25,38,14,0,,
1951-01-16,24,38,14,0,,
1951-01-17,27,37,20,0,,
1951-01-18,30,39,24,0,,
1951-01-19,32,47,20,0,,
1951-01-20,27,38,14,0,,
1951-01-21,24,38,15,0,,
1951-01-22,21,38,8,0,,
1951-01-23,21,40,13,0,,
1951-01-24,25,47,13,0,,
1951-01-25,24,46,13,0,,
1951-01-26,26,41,19,0,,
1951-01-27,27,52,17,0,,
1951-01-28,25,47,12,0,,
1951-01-29,31,54,19,0,,
1951-01-30,33,49,22,0,,
1951-01-31,35,40,28,0,,
1951-02-01,33,38,27,0,,
1951-02-02,32,38,28,0.01,,
1951-02-03,25,28,23,0.06,,
1951-02-04,24,36,13,0,,
1951-02-05,27,35,19,0,,
1951-02-06,27,35,20,0,,
1951-02-07,29,30,28,0.08,,
1951-02-08,30,34,28,0,,
1951-02-09,34,46,25,0,,
1951-02-10,29,34,24,0,,
1951-02-11,29,38,22,0,,
1951-02-12,29,35,23,0.04,,
1951-02-13,31,47,25,0.01,,
1951-02-14,29,35,22,0,,
1951-02-15,35,49,29,0.09,,
1951-02-16,30,48,21,0,,
1951-02-17,36,57,24,0,,
1951-02-18,35,52,24,0,,
1951-02-19,37,56,23,0,,
1951-02-20,40,43,36,0.43,,
1951-02-21,41,54,32,0.02,,
1951-02-22,41,49,36,0,,
1951-02-23,37,41,34,0,,
1951-02-24,32,35,30,0.09,,
1951-02-25,28,30,26,0.33,,
1951-02-26,27,30,26,0.02,,
1951-02-27,29,32,28,0.09,,
1951-02-28,26,29,20,0.04,,
1951-03-01,24,29,18,0,,
1951-03-02,26,37,19,0,,
1951-03-03,29,40,24,0,,
1951-03-04,32,41,26,0,,
1951-03-05,36,46,31,0.05,,
1951-03-06,37,51,28,0,,
1951-03-07,38,61,26,0,,
1951-03-08,42,63,30,0,,
1951-03-09,42,62,30,0,,
1951-03-10,40,51,28,0,,
1951-03-11,44,54,37,0,,
1951-03-12,38,42,32,0,,
1951-03-13,38,47,31,0,,
1951-03-14,44,61,35,0,,
1951-03-15,45,67,33,0,,
1951-03-16,47,69,31,0,,
1951-03-17,47,66,30,0,,
1951-03-18,46,56,35,0,,
1951-03-19,37,56,30,0,,
1951-03-20,39,55,32,0,,
1951-03-21,43,67,27,0,,
1951-03-22,49,63,38,0,,
1951-03-23,50,60,41,0,,
1951-03-24,45,63,32,0,,
1951-03-25,50,67,38,0,,
1951-03-26,46,58,41,0.13,,
1951-03-27,45,58,40,0.04,,
1951-03-28,42,58,34,0,,
1951-03-29,38,64,20,0,,
1951-03-30,50,63,44,0,,
1951-03-31,49,55,44,0.14,,
1951-04-01,49,56,46,0.15,,
1951-04-02,43,49,36,0.23,,
1951-04-03,41,61,28,0,,
1951-04-04,44,59,36,0,,
1951-04-05,47,69,31,0,,
1951-04-06,50,69,39,0,,
1951-04-07,49,69,38,0,,
1951-04-08,52,65,40,0.04,,
1951-04-09,47,53,45,0.17,,
1951-04-10,48,63,41,0.07,,
1951-04-11,47,66,36,0,,
1951-04-12,50,72,34,0,,
1951-04-13,53,59,47,0,,
1951-04-14,49,68,34,0,,
1951-04-15,50,62,39,0,,
1951-04-16,51,55,48,0.59,,
1951-04-17,45,49,41,0.19,,
1951-04-18,45,58,36,0,,
1951-04-19,51,64,46,0.06,,
1951-04-20,54,70,37,0.01,,
1951-04-21,54,65,45,0,,
1951-04-22,56,72,46,0,,
1951-04-23,56,75,45,0,,
1951-04-24,60,73,49,0,,
1951-04-25,61,73,55,0,,
1951-04-26,58,68,52,0.04,,
1951-04-27,54,59,52,0.06,,
1951-04-28,51,60,43,0.08,,
1951-04-29,51,71,38,0,,
1951-04-30,51,65,44,0.05,,
1951-05-01,52,73,38,0,,
1951-05-02,56,64,40,0,,
1951-05-03,58,65,55,0.04,,
1951-05-04,55,68,46,0,,
1951-05-05,52,57,45,0.06,,
1951-05-06,58,71,48,0,,
1951-05-07,59,79,44,0,,
1951-05-08,61,77,47,0,,
1951-05-09,65,83,51,0.11,,
1951-05-10,64,82,48,0,,
1951-05-11,71,90,58,0,,
1951-05-12,68,79,64,0.06,,
1951-05-13,65,70,62,0.06,,
1951-05-14,64,74,56,0.01,,
1951-05-15,62,65,57,0.41,,
1951-05-16,57,67,48,0.39,,
1951-05-17,56,74,45,0,,
1951-05-18,57,77,47,0,,
1951-05-19,59,86,40,0,,
1951-05-20,65,84,51,0,,
1951-05-21,63,87,49,0,,
1951-05-22,67,91,49,0,,
1951-05-23,63,76,58,0.01,,
1951-05-24,68,90,54,0,,
1951-05-25,65,90,49,0,,
1951-05-26,65,91,44,0,,
1951-05-27,65,73,56,0.02,,
1951-05-28,65,74,60,0.08,,
1951-05-29,70,92,54,0,,
1951-05-30,71,96,56,0,,
1951-05-31,75,98,52,0,,
1951-06-01,80,95,70,0,,
1951-06-02,72,95,61,0.06,,
1951-06-03,69,88,59,0.03,,
1951-06-04,70,89,56,0,,
1951-06-05,71,89,59,0,,
1951-06-06,75,98,61,0,,
1951-06-07,76,99,56,0,,
1951-06-08,76,93,65,0,,
1951-06-09,73,98,53,0,,
1951-06-10,76,99,58,0,,
1951-06-11,78,102,57,0,,
1951-06-12,81,98,66,0,,
1951-06-13,80,95,69,0,,
1951-06-14,77,92,64,0,,
1951-06-15,80,98,64,0,,
1951-06-16,83,98,68,0,,
1951-06-17,84,98,74,0,,
1951-06-18,85,100,72,0,,
1951-06-19,85,102,67,0,,
1951-06-20,88,103,76,0,,
1951-06-21,86,104,69,0,,
1951-06-22,81,94,74,0,,
1951-06-23,77,91,70,0,,
1951-06-24,70,71,67,0.24,,
1951-06-25,72,82,67,0.07,,
1951-06-26,75,90,68,0,,
1951-06-27,78,99,63,0,,
1951-06-28,83,106,66,0,,
1951-06-29,79,95,66,0,,
1951-06-30,78,103,59,0,,
1951-07-01,86,105,71,0,,
1951-07-02,80,90,71,0,,
1951-07-03,69,81,64,0.19,,
1951-07-04,63,65,62,1.45,,
1951-07-05,63,66,59,0.36,,
1951-07-06,65,68,62,0.46,,
1951-07-07,70,76,65,0.04,,
1951-07-08,74,88,68,0,,
1951-07-09,70,74,67,0.55,,
1951-07-10,73,83,66,0.04,,
1951-07-11,76,90,69,0.06,,
1951-07-12,76,85,67,0,,
1951-07-13,79,96,68,0.01,,
1951-07-14,78,95,67,0,,
1951-07-15,77,95,65,0,,
1951-07-16,78,92,71,0.2,,
1951-07-17,79,96,68,0,,
1951-07-18,76,86,71,0.04,,
1951-07-19,78,95,68,0,,
1951-07-20,80,98,67,0,,
1951-07-21,82,103,65,0,,
1951-07-22,85,103,71,0,,
1951-07-23,85,99,72,0,,
1951-07-24,88,103,75,0,,
1951-07-25,87,101,78,0,,
1951-07-26,85,105,77,0,,
1951-07-27,76,83,72,0.09,,
1951-07-28,78,91,69,0,,
1951-07-29,74,79,71,0.34,,
1951-07-30,74,81,68,0.01,,
1951-07-31,72,78,66,0.12,,
1951-08-01,68,75,65,0.96,,
1951-08-02,72,83,64,0,,
1951-08-03,78,89,69,0,,
1951-08-04,81,93,72,0,,
1951-08-05,82,94,75,0,,
1951-08-06,78,90,69,0.57,,
1951-08-07,77,89,70,0.01,,
1951-08-08,80,96,71,0,,
1951-08-09,81,96,70,0,,
1951-08-10,83,96,74,0,,
1951-08-11,86,98,76,0,,
1951-08-12,87,99,79,0,,
1951-08-13,89,101,82,0,,
1951-08-14,88,101,80,0,,
1951-08-15,84,98,79,0,,
1951-08-16,79,92,73,0,,
1951-08-17,72,90,62,0,,
1951-08-18,72,92,57,0,,
1951-08-19,71,83,65,0.04,,
1951-08-20,72,91,62,0.01,,
1951-08-21,70,78,64,0,,
1951-08-22,71,89,57,0,,
1951-08-23,75,89,64,0,,
1951-08-24,73,79,70,0.12,,
1951-08-25,72,76,69,0.33,,
1951-08-26,70,75,68,0.09,,
1951-08-27,72,78,68,0.04,,
1951-08-28,74,79,71,0,,
1951-08-29,76,83,71,0,,
1951-08-30,73,78,69,0.01,,
1951-08-31,75,83,70,0,,
1951-09-01,74,85,69,0,,
1951-09-02,74,83,67,0,,
1951-09-03,68,72,65,0.03,,
1951-09-04,66,67,65,1.25,,
1951-09-05,65,69,63,0.15,,
1951-09-06,64,67,62,0.61,,
1951-09-07,63,68,59,0.35,,
1951-09-08,60,67,56,2.04,,
1951-09-09,62,71,53,0.01,,
1951-09-10,67,81,60,0.02,,
1951-09-11,68,80,58,0,,
1951-09-12,71,87,64,0,,
1951-09-13,69,79,61,0,,
1951-09-14,67,78,59,0,,
1951-09-15,66,81,58,0,,
1951-09-16,64,81,52,0,,
1951-09-17,62,80,52,0,,
1951-09-18,60,79,47,0,,
1951-09-19,64,76,55,0,,
1951-09-20,65,76,60,0,,
1951-09-21,64,78,57,0.02,,
1951-09-22,63,66,61,0.08,,
1951-09-23,64,78,57,0,,
1951-09-24,65,86,53,0,,
1951-09-25,66,85,49,0,,
1951-09-26,65,82,55,0,,
1951-09-27,63,72,56,0,,
1951-09-28,63,74,55,0.3,,
1951-09-29,60,77,48,0,,
1951-09-30,57,73,46,0,,
1951-10-01,57,73,49,0,,
1951-10-02,55,72,45,0,,
1951-10-03,59,77,48,0,,
1951-10-04,61,73,51,0,,
1951-10-05,62,66,59,0.17,,
1951-10-06,63,73,59,0,,
1951-10-07,64,78,55,0,,
1951-10-08,60,81,49,0,,
1951-10-09,62,83,51,0,,
1951-10-10,60,84,48,0,,
1951-10-11,61,84,43,0,,
1951-10-12,63,69,55,0,,
1951-10-13,62,79,53,0,,
1951-10-14,60,80,47,0,,
1951-10-15,62,84,47,0,,
1951-10-16,70,91,53,0,,
1951-10-17,63,73,52,0.06,,
1951-10-18,52,56,47,0.21,,
1951-10-19,52,57,49,0.82,,
1951-10-20,56,67,50,0.18,,
1951-10-21,52,56,47,0.63,,
1951-10-22,50,63,41,0.07,,
1951-10-23,49,69,36,0,,
1951-10-24,46,59,37,0,,
1951-10-25,43,60,34,0,,
1951-10-26,42,61,31,0,,
1951-10-27,48,67,35,0,,
1951-10-28,52,70,38,0,,
1951-10-29,51,66,39,0.01,,
1951-10-30,54,72,45,0,,
1951-10-31,51,70,40,0,,
1951-11-01,48,62,37,0,,
1951-11-02,47,62,35,0,,
1951-11-03,55,69,43,0,,
1951-11-04,54,58,49,0.23,,
1951-11-05,48,50,46,0.74,,
1951-11-06,44,53,35,0.04,,
1951-11-07,42,60,31,0,,
1951-11-08,42,51,33,0,,
1951-11-09,48,62,42,0,,
1951-11-10,46,53,37,0,,
1951-11-11,51,67,42,0,,
1951-11-12,45,55,36,0.01,,
1951-11-13,48,56,41,0.01,,
1951-11-14,47,64,35,0,,
1951-11-15,44,53,34,0,,
1951-11-16,45,52,36,0.24,,
1951-11-17,45,49,39,0.02,,
1951-11-18,47,58,41,0,,
1951-11-19,42,48,36,0.02,,
1951-11-20,44,50,42,0,,
1951-11-21,33,48,24,0.01,,
1951-11-22,18,29,4,0.47,,
1951-11-23,15,34,2,0,,
1951-11-24,31,43,24,0,,
1951-11-25,37,50,29,0,,
1951-11-26,33,45,24,0,,
1951-11-27,37,42,34,0,,
1951-11-28,35,37,32,0.11,,
1951-11-29,37,47,29,0,,
1951-11-30,38,53,27,0,,
1951-12-01,36,54,25,0.01,,
1951-12-02,37,41,32,0.03,,
1951-12-03,36,46,29,0.04,,
1951-12-04,31,48,22,0.01,,
1951-12-05,30,46,21,0,,
1951-12-06,33,49,22,0,,
1951-12-07,32,48,22,0.01,,
1951-12-08,32,51,22,0,,
1951-12-09,34,53,25,0,,
1951-12-10,37,59,27,0,,
1951-12-11,38,62,25,0.01,,
1951-12-12,36,56,27,0,,
1951-12-13,37,57,23,0,,
1951-12-14,29,46,19,0,,
1951-12-15,26,44,16,0,,
1951-12-16,33,38,29,0,,
1951-12-17,35,51,24,0,,
1951-12-18,31,50,21,0,,
1951-12-19,31,53,21,0,,
1951-12-20,29,47,21,0,,
1951-12-21,34,52,19,0,,
1951-12-22,33,53,20,0,,
1951-12-23,31,47,21,0,,
1951-12-24,32,42,22,0,,
1951-12-25,36,51,26,0,,
1951-12-26,30,43,20,0,,
1951-12-27,28,48,18,0,,
1951-12-28,32,38,29,0.02,,
1951-12-29,27,29,26,0.07,,
1951-12-30,28,34,23,0.12,,
1951-12-31,26,36,20,0,,
1952-01-01,28,35,19,0,,
1952-01-02,29,44,22,0,,
1952-01-03,26,40,20,0,,
1952-01-04,29,40,24,0,,
1952-01-05,28,39,21,0,,
1952-01-06,28,39,17,0,,
1952-01-07,23,43,11,0,,
1952-01-08,20,39,10,0,,
1952-01-09,27,41,16,0,,
1952-01-10,28,40,19,0,,
1952-01-11,27,40,18,0,,
1952-01-12,28,37,21,0.02,,
1952-01-13,28,42,18,0,,
1952-01-14,29,51,18,0,,
1952-01-15,23,41,14,0,,
1952-01-16,30,51,19,0,,
1952-01-17,33,58,18,0,,
1952-01-18,28,48,18,0,,
1952-01-19,33,61,18,0,,
1952-01-20,37,61,24,0,,
1952-01-21,31,50,22,0,,
1952-01-22,34,50,24,0,,
1952-01-23,29,44,19,0,,
1952-01-24,34,47,24,0,,
1952-01-25,27,49,14,0,,
1952-01-26,30,49,18,0,,
1952-01-27,36,60,24,0,,
1952-01-28,38,59,24,0,,
1952-01-29,36,53,25,0,,
1952-01-30,34,45,29,0,,
1952-01-31,33,51,24,0,,
1952-02-01,34,49,23,0,,
1952-02-02,33,38,29,0,,
1952-02-03,36,53,29,0,,
1952-02-04,31,45,22,0,,
1952-02-05,31,38,22,0,,
1952-02-06,34,42,29,0,,
1952-02-07,33,47,18,0,,
1952-02-08,36,51,26,0,,
1952-02-09,34,57,22,0,,
1952-02-10,38,58,28,0,,
1952-02-11,43,62,30,0,,
1952-02-12,42,55,30,0,,
1952-02-13,39,43,35,0,,
1952-02-14,33,36,31,0.11,,
1952-02-15,29,31,27,0.11,,
1952-02-16,27,30,24,0.03,,
1952-02-17,26,29,24,0.01,,
1952-02-18,23,30,20,0.06,,
1952-02-19,24,37,17,0,,
1952-02-20,30,48,20,0,,
1952-02-21,32,45,23,0,,
1952-02-22,36,46,30,0,,
1952-02-23,29,33,26,0.17,,
1952-02-24,27,31,25,0.19,,
1952-02-25,27,32,24,0,,
1952-02-26,28,33,22,0,,
1952-02-27,31,37,25,0,,
1952-02-28,37,44,32,0,,
1952-02-29,40,47,35,0,,
1952-03-01,38,49,28,0,,
1952-03-02,39,54,31,0,,
1952-03-03,33,37,27,0,,
1952-03-04,30,33,27,0,,
1952-03-05,34,39,29,0,,
1952-03-06,33,36,30,0.05,,
1952-03-07,36,42,32,0,,
1952-03-08,40,45,36,0,,
1952-03-09,43,56,35,0.15,,
1952-03-10,43,51,38,0,,
1952-03-11,45,57,39,0,,
1952-03-12,40,51,32,0.04,,
1952-03-13,40,61,26,0,,
1952-03-14,46,64,33,0,,
1952-03-15,53,73,37,0,,
1952-03-16,55,66,47,0,,
1952-03-17,47,49,45,0.03,,
1952-03-18,43,51,36,0.69,,
1952-03-19,40,52,32,0,,
1952-03-20,41,57,27,0,,
1952-03-21,44,57,37,0.09,,
1952-03-22,47,57,38,0,,
1952-03-23,42,56,31,0,,
1952-03-24,43,53,37,0,,
1952-03-25,35,38,32,0.13,,
1952-03-26,38,50,32,0.01,,
1952-03-27,41,52,30,0.01,,
1952-03-28,47,61,36,0,,
1952-03-29,48,51,43,0.13,,
1952-03-30,47,56,40,0.33,,
1952-03-31,49,64,38,0,,
1952-04-01,54,69,45,0,,
1952-04-02,55,69,46,0.01,,
1952-04-03,55,78,42,0,,
1952-04-04,53,77,39,0,,
1952-04-05,57,80,43,0,,
1952-04-06,57,76,44,0,,
1952-04-07,59,79,49,0,,
1952-04-08,63,85,50,0,,
1952-04-09,70,85,59,0,,
1952-04-10,54,75,45,1.26,,
1952-04-11,50,56,46,0.01,,
1952-04-12,48,60,41,0,,
1952-04-13,53,72,36,0,,
1952-04-14,53,66,45,0,,
1952-04-15,54,78,40,0,,
1952-04-16,61,85,46,0,,
1952-04-17,66,75,57,0,,
1952-04-18,62,74,55,0,,
1952-04-19,64,76,54,0,,
1952-04-20,63,77,53,0,,
1952-04-21,63,79,47,0,,
1952-04-22,53,62,44,0.37,,
1952-04-23,47,55,42,0.36,,
1952-04-24,54,69,48,0,,
1952-04-25,57,76,44,0,,
1952-04-26,62,81,48,0,,
1952-04-27,60,69,51,0.1,,
1952-04-28,54,72,42,0,,
1952-04-29,57,74,46,0,,
1952-04-30,66,83,53,0,,
1952-05-01,69,80,63,0,,
1952-05-02,67,73,63,0.52,,
1952-05-03,62,67,60,0.4,,
1952-05-04,61,65,59,0.92,,
1952-05-05,60,65,57,0.38,,
1952-05-06,63,76,58,0,,
1952-05-07,66,80,52,0,,
1952-05-08,61,68,56,0.11,,
1952-05-09,55,57,53,0.25,,
1952-05-10,57,65,52,0,,
1952-05-11,62,74,56,0,,
1952-05-12,64,82,54,0,,
1952-05-13,67,81,58,0,,
1952-05-14,71,75,69,0,,
1952-05-15,66,79,62,0.07,,
1952-05-16,64,71,56,0,,
1952-05-17,68,76,64,0,,
1952-05-18,61,68,56,0.22,,
1952-05-19,58,68,50,0.19,,
1952-05-20,62,81,46,0.01,,
